Index_Sinistre;Annee;Age_assure;Sexe_assure;Ind_fumeur;Emploi_assure;Statut_marital;Nbre_enfants;Exp_cond;km_annuel;Ind_util_travail;Ind_util_affaires;Score_credit;Region;Age_police;Ind_occas;Ind_vehicule_sport;Valeur_vehicule;Age_vehicule;Couleur_vehicule;Ind_vehicule_loue;Nbre_infract;Temps_sn_sin;Nbre_sinistres;Montant_paye
1279;2005;32;H;Non;MED;F;0;16;5400;Oui;Non;534;MA;10;Non;Non;34000;12;A;Non;0;6;1;2390
1280;2005;59;F;Non;AUT;M;1;42;45000;Non;Oui;805;SA;33;Oui;Non;32000;2;B;Oui;0;6;1;4633
1281;2005;54;F;Oui;PRO;D;1;38;9400;Oui;Oui;566;MA;30;Non;Oui;50000;3;G;Oui;1;1;1;14398
1282;2005;53;H;Oui;PRO;F;2;37;33800;Non;Non;717;ES;31;Oui;Non;32000;2;R;Oui;1;6;1;2864
1283;2005;17;H;Non;ETU;F;0;0;34500;Non;Non;645;ML;0;Oui;Non;34000;9;N;Non;0;6;1;2582
1284;2005;16;F;Non;ETU;A;0;0;9400;Non;Non;565;SA;0;Non;Non;20000;10;R;Non;0;6;1;2241
1285;2005;34;H;Non;ETU;F;1;18;10500;Oui;Non;610;GA;9;Oui;Non;31000;10;R;Non;1;5;1;2681
1286;2005;48;H;Oui;MAN;F;2;26;31000;Non;Non;779;ES;24;Oui;Non;25000;10;B;Non;1;6;1;1294
1287;2005;16;H;Non;ETU;A;0;0;8500;Oui;Non;767;MA;0;Non;Non;34000;9;N;Non;0;1;1;3802
1288;2005;26;H;Non;ASS;M;1;10;25200;Oui;Non;601;GA;6;Oui;Non;15000;6;R;Non;0;6;1;1480
1289;2005;28;F;Non;ASS;M;1;12;25900;Oui;Oui;591;GA;8;Oui;Non;16000;8;B;Non;0;6;1;3786
1290;2005;32;H;Non;PRO;A;1;11;22200;Non;Non;637;SA;8;Non;Non;12000;1;B;Non;0;6;1;1204
1291;2005;34;H;Oui;PRO;M;1;18;22100;Oui;Oui;613;QC;9;Oui;Oui;62000;0;G;Oui;0;6;1;13810
1292;2005;76;H;Non;RTR;F;1;58;45000;Non;Non;946;ES;52;Non;Non;10000;1;R;Non;0;6;1;634
1293;2005;17;H;Non;ETU;A;0;1;35500;Oui;Non;539;ES;0;Non;Non;24000;10;B;Non;0;0;1;2985
1294;2005;41;F;Oui;PRO;F;2;25;12200;Oui;Oui;673;GA;17;Oui;Non;21000;2;R;Oui;0;2;1;5226
1295;2005;17;F;Non;ETU;A;0;0;8900;Oui;Non;717;ML;0;Non;Non;20000;8;R;Non;0;0;1;1409
1296;2005;49;H;Oui;GOU;A;1;33;20800;Oui;Non;570;SA;13;Non;Oui;47000;0;R;Non;0;6;1;5190
1297;2005;30;H;Oui;AUT;F;1;13;14700;Oui;Non;691;QC;8;Oui;Non;14000;1;R;Oui;0;6;1;1998
1298;2005;20;H;Non;SNS;M;0;4;23700;Non;Non;674;ES;2;Oui;Non;30000;0;R;Oui;0;6;1;3816
1299;2005;71;H;Non;RTR;A;0;55;27200;Non;Non;729;ES;19;Non;Oui;46000;1;G;Non;0;6;1;3672
1300;2005;68;H;Non;RTR;A;2;52;19700;Non;Non;721;ML;33;Oui;Oui;37000;1;N;Non;0;6;1;2975
1301;2005;29;H;Non;AUT;D;1;7;11000;Non;Non;633;SA;2;Non;Non;35000;10;R;Non;0;5;1;2658
1302;2005;60;H;Oui;PRO;M;0;37;22800;Oui;Non;628;ML;31;Oui;Non;26000;8;R;Non;1;6;1;1163
1303;2005;17;H;Non;ETU;A;0;0;33300;Oui;Non;579;GA;0;Non;Non;24000;0;A;Oui;0;6;1;4762
1304;2005;39;F;Non;ASS;F;0;23;9600;Oui;Oui;619;ES;10;Non;Non;33000;0;N;Oui;0;6;1;6905
1305;2005;29;H;Oui;MAN;M;1;11;28800;Non;Non;698;ML;7;Non;Oui;70000;1;G;Oui;0;5;1;4295
1306;2005;18;F;Non;ETU;M;0;2;31000;Oui;Non;657;SA;1;Oui;Non;29000;11;B;Non;0;6;1;2972
1307;2005;29;H;Non;MED;M;1;13;32700;Oui;Non;311;SA;11;Oui;Non;27000;8;B;Non;0;6;1;2759
1308;2005;23;H;Non;ETU;A;0;7;28000;Oui;Non;670;ES;6;Non;Non;13000;6;R;Non;0;2;1;1361
1309;2005;56;F;Non;RTR;F;1;40;40500;Non;Non;722;ML;34;Oui;Non;26000;4;B;Non;0;6;1;1395
1310;2005;37;F;Non;MAN;M;1;21;23800;Non;Non;567;SA;21;Oui;Non;23000;2;G;Non;0;6;1;3478
1311;2005;25;F;Non;AUT;A;0;9;28200;Oui;Non;601;MA;5;Non;Non;10000;5;B;Oui;0;6;1;2445
1312;2005;20;F;Oui;ETU;A;0;4;11300;Oui;Non;642;GA;3;Non;Non;27000;8;R;Non;0;4;1;2820
1313;2005;33;F;Oui;GOU;M;1;15;17200;Oui;Non;558;MA;14;Oui;Non;25000;1;N;Oui;0;0;1;4365
1314;2005;25;H;Oui;ASS;F;1;8;5500;Non;Oui;884;ES;5;Oui;Non;18000;4;R;Oui;1;6;1;3135
1315;2005;76;F;Non;RTR;A;0;60;46100;Non;Non;615;GA;42;Non;Non;28000;8;G;Non;1;6;1;2094
1316;2005;66;F;Non;AUT;M;3;50;15600;Non;Oui;458;ML;42;Non;Non;27000;5;G;Oui;0;6;1;3921
1317;2005;59;H;Non;PRO;M;1;42;27800;Oui;Oui;683;SA;31;Oui;Non;31000;6;R;Non;0;3;1;3567
1318;2005;49;H;Non;ASS;A;0;33;33700;Non;Non;588;QC;28;Non;Oui;49000;0;G;Non;0;6;1;4090
1319;2005;41;H;Non;PRO;F;0;25;47500;Non;Non;798;ES;12;Oui;Non;34000;3;G;Non;0;6;1;2016
1320;2005;29;F;Oui;ASS;F;0;13;23100;Oui;Oui;665;ML;7;Non;Non;27000;0;A;Non;0;0;1;3833
1321;2005;28;F;Oui;AUT;M;1;12;18800;Oui;Non;562;ES;5;Oui;Non;33000;2;B;Non;0;6;1;3958
1322;2005;88;H;Non;RTR;M;2;71;18500;Non;Non;755;GA;49;Non;Non;24000;0;G;Non;0;6;1;1493
1323;2005;26;H;Non;ETU;F;1;10;32800;Oui;Non;210;SA;5;Non;Non;25000;8;R;Non;0;6;1;3705
1324;2005;62;F;Non;ASS;D;2;46;33300;Oui;Non;627;MA;27;Oui;Non;24000;4;A;Non;0;6;1;2289
1325;2005;45;F;Non;ASS;F;1;29;40000;Oui;Non;60;GA;17;Oui;Non;25000;2;R;Non;0;6;1;4091
1326;2005;29;H;Non;MED;A;1;13;47100;Oui;Non;552;GA;9;Non;Non;31000;3;R;Non;0;6;1;3270
1327;2005;40;H;Non;MED;F;0;19;33500;Oui;Non;588;OU;10;Oui;Non;24000;3;B;Non;0;6;1;2165
1328;2005;91;H;Non;RTR;D;0;75;21300;Non;Non;554;MA;45;Oui;Non;22000;0;R;Oui;0;3;1;2045
1329;2005;20;F;Non;ETU;A;0;4;29300;Non;Non;794;SA;2;Non;Non;34000;4;A;Oui;0;5;1;3358
1330;2005;20;H;Oui;ETU;A;0;4;8400;Oui;Non;664;SA;2;Non;Non;21000;12;R;Non;0;1;1;1981
1331;2005;82;F;Non;RTR;F;1;66;52900;Non;Non;700;SA;36;Oui;Non;27000;1;A;Oui;0;6;1;2000
1332;2005;39;H;Non;MED;F;1;23;24000;Non;Non;838;SA;14;Non;Non;34000;5;B;Non;0;3;1;1737
1333;2005;21;H;Oui;ETU;F;0;5;10000;Oui;Non;722;ML;2;Oui;Non;10000;9;N;Non;0;0;1;1082
1334;2005;16;H;Oui;ETU;A;0;0;10000;Oui;Non;740;GA;0;Non;Non;35000;12;G;Non;0;1;1;3437
1335;2005;23;H;Non;ETU;A;0;7;9900;Oui;Non;880;MA;5;Non;Non;25000;7;R;Non;0;4;1;1689
1336;2005;59;H;Non;RTR;A;1;43;12800;Non;Non;660;MA;34;Non;Oui;33000;2;R;Oui;0;6;1;3518
1337;2005;51;H;Non;PRO;F;1;34;37700;Oui;Oui;570;SA;27;Oui;Non;16000;9;A;Non;0;6;1;2697
1338;2005;19;H;Non;ETU;A;0;2;27000;Oui;Non;571;MA;1;Non;Non;20000;9;G;Non;0;6;1;2265
1339;2005;52;F;Oui;MAN;M;2;36;43100;Oui;Non;689;ES;28;Oui;Non;23000;4;B;Non;0;6;1;1713
1340;2005;70;H;Non;RTR;F;1;54;14200;Non;Non;703;SA;24;Oui;Non;33000;3;B;Oui;0;6;1;3019
1341;2005;84;F;Oui;RTR;F;2;68;9000;Non;Non;757;ML;47;Oui;Non;44000;6;A;Non;0;6;1;1723
1342;2005;35;F;Oui;MAN;M;1;19;46500;Non;Non;682;SA;8;Non;Non;18000;3;B;Non;0;6;1;1840
1343;2005;31;H;Yes;SNS;F;0;14;8000;Non;Non;601;ML;12;Oui;Non;33000;10;R;Non;0;6;1;1522
1344;2005;77;F;Non;RTR;M;2;60;30600;Non;Non;633;GA;39;Oui;Non;29000;4;B;Non;0;6;1;1858
1345;2005;29;H;Non;GOU;M;3;13;1900;Non;Non;746;OU;9;Oui;Oui;48000;1;B;Non;0;6;1;5300
1346;2005;43;H;Oui;ASS;M;2;26;40000;Oui;Non;516;ES;14;Oui;Non;25000;1;N;Non;0;6;1;2153
1347;2005;49;H;Non;GOU;F;1;33;29500;Non;Non;570;ES;18;Oui;Non;27000;4;B;Non;0;6;1;1913
1348;2005;41;F;Oui;PRO;A;0;25;23800;Oui;Non;741;MA;15;Non;Non;25000;0;A;Non;0;1;1;2114
1349;2005;60;H;Oui;SNS;M;1;43;61600;Non;Non;595;MA;15;Oui;Non;12000;12;A;Non;0;6;1;993
1350;2005;35;F;Non;ASS;M;2;14;16500;Oui;Non;365;MA;11;Oui;Non;10000;2;G;Oui;0;6;1;2699
1351;2005;21;H;Non;ETU;F;0;5;11300;Oui;Non;786;GA;3;Oui;Non;34000;12;N;Non;0;6;1;3003
1352;2005;30;H;Non;MED;F;0;13;42300;Oui;Non;628;ES;7;Oui;Non;30000;5;G;Non;0;0;1;1969
1353;2005;19;H;Non;ETU;F;0;3;11300;Oui;Non;569;ES;2;Oui;Non;24000;7;R;Non;0;6;1;2874
1354;2005;36;F;Non;MAN;F;1;20;45400;Non;Non;653;ML;14;Non;Non;16000;4;A;Oui;0;6;1;1346
1355;2005;41;H;Oui;GOU;M;0;25;41400;Oui;Non;552;ES;23;Oui;Non;20000;9;R;Non;1;6;1;1366
1356;2005;42;F;Non;MED;F;0;26;9500;Oui;Non;518;QC;19;Oui;Non;22000;9;N;Non;0;6;1;2156
1357;2005;40;H;Non;GOU;M;1;24;28500;Oui;Non;578;ES;15;Oui;Oui;52000;2;R;Oui;0;6;1;5301
1358;2005;37;F;Non;GOU;D;1;21;16600;Oui;Non;783;OU;15;Oui;Oui;63000;6;R;Non;0;6;1;4647
1359;2005;24;H;Non;ETU;F;0;3;8000;Oui;Non;752;GA;1;Oui;Non;30000;12;G;Non;0;6;1;2732
1360;2005;20;F;Non;ETU;F;1;4;9000;Non;Non;727;OU;2;Non;Non;43000;8;R;Non;0;6;1;4045
1361;2005;28;H;Oui;AUT;F;1;12;21300;Oui;Non;685;MA;10;Oui;Non;10000;2;N;Non;1;6;1;1754
1362;2005;34;F;Non;PRO;M;1;18;15500;Non;Oui;850;QC;14;Oui;Non;12000;2;N;Oui;0;6;1;3339
1363;2005;26;H;Non;PRO;F;2;1;14400;Oui;Non;580;ML;0;Oui;Non;37000;8;N;Non;0;1;1;2832
1364;2005;31;F;Oui;PRO;M;1;12;30400;Non;Non;640;ML;11;Oui;Non;25000;8;N;Non;0;6;1;1683
1365;2005;47;F;Oui;ETU;F;2;31;11200;Oui;Non;842;ES;20;Oui;Oui;46000;0;R;Oui;0;1;1;5116
1366;2005;84;F;Non;RTR;M;0;59;13200;Non;Non;778;QC;41;Oui;Non;33000;5;R;Oui;0;6;1;1850
1367;2005;31;H;Non;ASS;A;1;10;32500;Oui;Non;564;SA;7;Non;Non;40000;3;B;Non;0;4;1;3676
1368;2005;17;F;Oui;ETU;F;0;1;28300;Oui;Non;624;SA;0;Non;Non;37000;10;R;Non;0;4;1;4881
1369;2005;30;F;Non;ASS;A;2;14;24700;Non;Non;741;QC;9;Non;Non;22000;5;N;Oui;0;6;1;2504
1370;2005;22;F;Non;ETU;F;0;6;11500;Oui;Non;630;GA;5;Oui;Non;39000;12;A;Non;0;6;1;4103
1371;2005;60;H;Oui;MED;F;1;43;30300;Non;Non;300;GA;38;Oui;Non;24000;2;N;Non;0;6;1;2991
1372;2005;24;F;Non;ETU;F;0;8;33400;Oui;Non;571;GA;4;Non;Non;21000;12;R;Non;0;1;1;2153
1373;2005;36;F;Non;MED;F;1;20;2800;Non;Non;700;SA;14;Oui;Non;34000;7;B;Non;0;6;1;3339
1374;2005;36;F;Oui;PRO;D;0;20;9100;Oui;Non;623;SA;13;Non;Non;11000;0;N;Oui;0;3;1;1892
1375;2005;17;H;Non;ETU;A;0;1;11400;Oui;Non;598;MA;0;Non;Non;35000;7;N;Non;0;1;1;4740
1376;2005;25;H;Oui;MAN;A;2;9;19100;Oui;Non;657;QC;7;Non;Oui;50000;0;N;Oui;0;6;1;9767
1377;2005;65;H;Non;RTR;M;0;42;32400;Non;Non;566;GA;18;Oui;Non;15000;4;R;Non;0;6;1;1250
1378;2005;39;F;Non;PRO;M;0;23;24300;Non;Non;727;ES;10;Oui;Non;10000;6;N;Non;0;6;1;954
1379;2005;17;F;Non;ETU;A;2;1;32600;Non;Non;999;GA;0;Non;Non;31000;11;G;Non;0;3;1;1866
1380;2005;30;F;Non;AUT;D;2;14;34400;Oui;Non;764;OU;7;Non;Non;26000;2;R;Non;0;6;1;2213
1381;2005;54;H;Oui;RTR;D;4;38;33200;Non;Non;337;GA;28;Oui;Oui;70000;1;R;Oui;0;6;1;8154
1382;2005;46;H;Non;PRO;M;1;25;22400;Oui;Non;653;ML;17;Oui;Non;35000;2;R;Oui;0;3;1;2511
1383;2005;90;H;Oui;RTR;M;1;72;23100;Non;Non;530;SA;32;Oui;Non;39000;1;G;Non;0;4;1;3264
1384;2005;24;F;Non;SNS;F;0;7;12400;Non;Non;680;SA;5;Oui;Non;10000;9;R;Non;0;6;1;1624
1385;2005;59;H;Oui;MAN;D;1;43;16900;Non;Non;601;MA;23;Non;Non;29000;9;B;Non;0;6;1;1793
1386;2005;28;H;Non;PRO;M;1;12;16300;Non;Oui;645;SA;6;Oui;Non;25000;7;A;Non;0;2;1;3635
1387;2005;48;H;Non;ETU;F;4;32;27200;Oui;Non;240;ML;27;Oui;Non;34000;6;R;Non;0;6;1;3242
1388;2005;71;H;Oui;RTR;M;1;55;15300;Non;Non;877;GA;30;Oui;Non;26000;5;G;Oui;0;6;1;1311
1389;2005;43;F;Non;MAN;A;2;27;38400;Non;Non;560;ES;22;Oui;Non;34000;6;A;Non;0;6;1;4037
1390;2005;22;F;Oui;SNS;D;0;6;38600;Non;Non;643;ML;5;Oui;Non;23000;11;N;Non;0;6;1;1932
1391;2005;39;H;Oui;PRO;A;1;23;26800;Oui;Oui;680;QC;23;Non;Non;29000;4;A;Non;0;6;1;3454
1392;2005;28;H;Oui;AUT;M;1;12;24500;Oui;Non;768;ES;8;Oui;Non;21000;7;R;Non;0;6;1;1104
1393;2005;61;F;Oui;SNS;M;0;45;18100;Non;Non;742;ML;20;Oui;Non;27000;8;B;Non;0;6;1;1249
1394;2005;92;F;Non;AUT;F;2;76;25700;Oui;Non;579;ES;38;Oui;Non;31000;5;G;Non;0;0;1;1512
1395;2005;45;F;Non;GOU;F;1;29;55200;Oui;Non;902;ES;15;Non;Non;26000;2;B;Non;1;2;1;1771
1396;2005;59;F;Oui;ASS;D;0;42;46300;Non;Oui;514;ML;31;Non;Oui;35000;0;R;Non;0;6;1;6650
1397;2005;82;H;Non;RTR;M;2;61;29400;Non;Non;751;MA;57;Non;Non;17000;2;N;Non;0;6;1;991
1398;2005;87;H;Non;RTR;A;1;71;30400;Non;Non;877;MA;63;Oui;Non;31000;0;A;Oui;0;6;1;1951
1399;2005;42;F;Oui;AUT;F;0;26;25900;Oui;Oui;762;ML;14;Oui;Non;26000;7;A;Non;0;2;1;2753
1400;2005;46;F;Oui;PRO;D;1;29;23700;Oui;Oui;568;GA;17;Oui;Oui;51000;1;A;Oui;0;0;1;18504
1401;2005;88;H;Non;RTR;F;1;72;36600;Non;Non;636;MA;39;Non;Non;40000;2;G;Non;0;5;1;2543
1402;2005;52;F;Non;PRO;F;1;33;22900;Oui;Non;638;MA;21;Non;Non;28000;2;B;Non;0;6;1;3043
1403;2005;22;H;Non;ETU;A;0;1;25900;Non;Non;708;SA;0;Non;Non;37000;4;G;Oui;0;6;1;4430
1404;2005;22;H;Non;ETU;F;0;6;8900;Oui;Non;662;ML;4;Non;Non;12000;8;R;Non;0;1;1;1013
1405;2005;24;H;Non;ETU;A;0;5;10200;Oui;Non;601;SA;3;Non;Non;26000;11;G;Non;0;5;1;2706
1406;2005;24;H;Non;ETU;F;0;8;27400;Oui;Non;631;OU;3;Oui;Non;14000;9;N;Non;0;6;1;1487
1407;2005;58;H;Non;RTR;M;1;42;37700;Non;Non;900;ES;27;Non;Non;22000;12;R;Non;0;6;1;616
1408;2005;37;F;Non;PRO;F;2;21;17800;Non;Non;569;SA;11;Oui;Non;25000;2;A;Oui;0;6;1;4332
1409;2005;31;H;Non;MAN;M;1;15;26800;Oui;Non;550;GA;12;Non;Oui;46000;2;R;Oui;0;6;1;7392
1410;2005;61;H;Oui;PRO;D;0;44;23700;Oui;Oui;799;OU;33;Oui;Non;34000;5;G;Oui;0;6;1;4663
1411;2005;29;H;Non;GOU;D;0;13;45500;Oui;Non;679;GA;11;Oui;Non;28000;8;R;Non;0;6;1;1899
1412;2005;26;H;Non;ASS;M;1;8;25000;Oui;Oui;746;GA;5;Oui;Non;25000;2;B;Non;0;2;1;4316
1413;2005;18;H;Oui;ETU;A;0;2;9800;Oui;Non;517;GA;1;Non;Non;16000;8;R;Non;0;6;1;1884
1414;2005;63;F;Oui;PRO;D;2;39;4300;Non;Oui;674;MA;33;Non;Non;36000;6;G;Non;0;5;1;4939
1415;2005;23;H;Oui;SNS;F;0;7;17800;Non;Non;626;SA;4;Oui;Non;34000;12;N;Non;0;6;1;3236
1416;2005;71;H;Oui;RTR;F;0;55;47700;Non;Non;445;OU;44;Oui;Non;26000;5;R;Non;0;5;1;2216
1417;2005;48;F;Non;ASS;F;0;31;2800;Non;Oui;669;GA;18;Oui;Non;16000;3;A;Oui;0;6;1;4095
1418;2005;47;F;Non;SNS;A;0;31;49100;Non;Non;898;ML;17;Non;Non;29000;7;A;Non;0;6;1;990
1419;2005;36;H;Non;ASS;F;0;18;54100;Oui;Non;666;GA;11;Oui;Non;25000;11;G;Non;0;6;1;2014
1420;2005;41;H;Non;PRO;M;1;22;27600;Oui;Oui;671;SA;15;Oui;Non;21000;2;A;Non;0;6;1;3479
1421;2005;59;F;Oui;RTR;M;1;42;19200;Non;Non;808;SA;42;Oui;Non;38000;5;N;Non;0;6;1;2096
1422;2005;51;F;Non;RTR;M;1;30;7900;Non;Non;663;ML;18;Oui;Non;20000;4;A;Oui;0;4;1;1307
1423;2005;49;F;Non;PRO;F;0;33;28800;Non;Non;492;GA;29;Oui;Non;15000;0;G;Non;0;6;1;2124
1424;2005;90;H;Non;RTR;F;2;74;17700;Non;Non;674;QC;66;Oui;Non;18000;9;G;Non;0;3;1;1219
1425;2005;21;H;Non;ETU;A;1;4;10600;Oui;Non;856;GA;2;Non;Non;36000;9;B;Non;1;2;1;3148
1426;2005;50;H;Non;MED;F;1;34;46800;Oui;Non;608;ML;20;Oui;Non;41000;1;G;Oui;1;3;1;2885
1427;2005;43;F;Non;ETU;F;1;27;9300;Non;Non;587;ML;10;Oui;Non;37000;7;G;Non;0;6;1;2296
1428;2005;52;H;Non;ASS;M;0;34;24300;Oui;Non;489;GA;22;Oui;Non;13000;5;B;Non;0;6;1;1370
1429;2005;47;F;Oui;PRO;F;0;31;37400;Non;Oui;553;SA;24;Oui;Non;11000;5;A;Oui;0;6;1;2976
1430;2005;20;H;Non;ETU;A;0;4;23100;Oui;Non;833;SA;2;Non;Non;27000;11;R;Non;0;6;1;2080
1431;2005;51;F;Non;PRO;F;0;35;38100;Oui;Oui;605;SA;24;Oui;Non;39000;3;N;Oui;0;6;1;10898
1432;2005;29;H;Non;MAN;D;1;13;50700;Oui;Non;559;GA;5;Oui;Oui;71000;1;G;Oui;0;1;1;9246
1433;2005;27;H;Oui;MAN;M;4;11;13200;Non;Non;716;ES;6;Oui;Oui;41000;7;N;Non;0;6;1;4741
1434;2005;41;F;Oui;MAN;F;2;22;19000;Oui;Non;309;ML;22;Oui;Non;10000;6;G;Non;0;0;1;1597
1435;2005;51;H;Non;PRO;D;0;35;33900;Oui;Non;574;OU;24;Oui;Oui;33000;3;R;Non;0;6;1;4384
1436;2005;44;H;Oui;ASS;M;0;28;9900;Oui;Non;618;GA;18;Oui;Non;10000;5;N;Oui;0;6;1;1278
1437;2005;34;F;Non;ETU;A;2;18;30800;Oui;Non;490;SA;11;Non;Non;25000;10;R;Non;0;6;1;2979
1438;2005;46;H;Non;SNS;F;0;30;25400;Non;Non;557;ML;13;Oui;Non;16000;10;R;Non;0;2;1;863
1439;2005;35;H;Oui;ETU;A;0;17;8700;Non;Non;605;ML;8;Non;Oui;59000;3;G;Oui;0;6;1;3526
1440;2005;41;F;Non;MAN;F;0;25;24700;Non;Non;709;SA;20;Non;Non;22000;1;N;Oui;0;6;1;2942
1441;2005;49;F;Oui;GOU;M;1;30;34800;Oui;Non;841;SA;30;Non;Non;25000;2;N;Oui;0;6;1;2021
1442;2005;21;H;Non;ETU;F;2;5;27100;Oui;Non;676;SA;3;Non;Non;26000;11;R;Non;1;6;1;3269
1443;2005;53;F;Non;MAN;M;1;37;27200;Oui;Non;688;SA;24;Non;Non;15000;5;A;Non;0;6;1;1302
1444;2005;32;H;Non;ASS;D;0;16;28600;Oui;Non;556;ES;8;Oui;Non;31000;3;G;Non;0;6;1;2328
1445;2005;31;F;Non;PRO;M;0;13;28400;Oui;Non;717;MA;8;Oui;Non;41000;10;G;Non;0;6;1;3208
1446;2005;27;F;Non;GOU;A;2;11;13000;Non;Non;557;GA;6;Non;Non;11000;0;N;Non;0;6;1;2300
1447;2005;17;F;Oui;ETU;F;0;0;11300;Oui;Non;547;GA;0;Oui;Non;30000;8;G;Non;0;2;1;4034
1448;2005;32;F;Non;SNS;D;2;11;41000;Non;Non;765;GA;6;Non;Non;27000;12;A;Non;0;6;1;2226
1449;2005;20;F;Non;ETU;A;0;4;9100;Oui;Non;607;ML;2;Non;Non;26000;7;R;Non;0;3;1;1971
1450;2005;36;F;Non;PRO;F;1;15;6300;Oui;Non;970;SA;12;Oui;Non;37000;4;R;Oui;0;6;1;3823
1451;2005;46;H;Oui;PRO;F;2;30;39200;Oui;Oui;688;ES;27;Oui;Non;19000;0;N;Non;0;4;1;2704
1452;2005;50;F;Non;MED;M;2;33;21800;Oui;Non;635;SA;23;Oui;Non;28000;4;R;Oui;0;6;1;3010
1453;2005;58;F;Non;MED;F;1;42;25900;Oui;Non;664;GA;27;Oui;Non;33000;9;G;Non;0;6;1;2424
1454;2005;21;H;Non;ETU;F;0;5;11200;Oui;Non;718;ES;4;Oui;Non;20000;5;A;Oui;0;2;1;1962
1455;2005;47;F;Oui;PRO;F;1;31;22000;Non;Non;714;ML;23;Oui;Non;27000;3;R;Non;0;6;1;1867
1456;2005;33;H;Oui;PRO;A;4;17;6500;Oui;Oui;889;GA;8;Non;Non;28000;0;N;Oui;0;6;1;4443
1457;2005;19;F;Non;ETU;A;0;3;33400;Oui;Non;606;SA;1;Non;Non;33000;7;R;Non;0;6;1;3672
1458;2005;20;F;Non;ETU;F;0;4;30700;Oui;Non;542;SA;2;Oui;Non;32000;10;G;Non;0;6;1;4077
1459;2005;38;H;Non;GOU;A;0;17;54400;Oui;Non;632;GA;5;Non;Non;17000;1;B;Oui;0;6;1;1753
1460;2005;70;H;Oui;RTR;M;0;54;35300;Non;Non;585;ES;35;Non;Non;13000;3;R;Oui;0;6;1;953
1461;2005;16;H;Non;ETU;F;0;0;11800;Non;Non;742;SA;0;Oui;Non;14000;10;R;Non;0;1;1;1707
1462;2005;56;F;Oui;RTR;F;2;40;11700;Non;Non;766;ES;24;Oui;Non;26000;0;B;Oui;0;6;1;2243
1463;2005;29;H;Non;ASS;A;1;12;51300;Oui;Non;288;ES;9;Non;Non;21000;3;R;Oui;0;6;1;2703
1464;2005;79;F;Oui;RTR;A;0;63;12700;Non;Non;816;SA;40;Non;Oui;59000;0;R;Oui;0;6;1;3164
1465;2005;27;F;Non;ASS;A;0;11;33900;Oui;Non;790;MA;6;Non;Non;27000;1;R;Oui;0;5;1;3114
1466;2005;91;H;Non;RTR;M;0;75;23900;Non;Non;642;GA;52;Oui;Non;34000;5;B;Non;1;4;1;1980
1467;2005;16;F;Oui;AUT;F;0;0;56800;Oui;Non;817;ES;0;Oui;Non;29000;2;N;Non;0;6;1;2751
1468;2005;64;F;Oui;GOU;A;1;48;22500;Oui;Non;630;GA;16;Oui;Oui;50000;3;R;Oui;0;6;1;6374
1469;2005;19;F;Non;ETU;M;0;3;9500;Non;Non;668;SA;2;Oui;Non;33000;2;R;Oui;0;1;1;5338
1470;2005;85;F;Non;AUT;F;1;69;55700;Non;Oui;947;ML;55;Non;Non;23000;5;R;Oui;0;6;1;1251
1471;2005;17;H;Non;ETU;A;0;0;29400;Oui;Non;635;GA;0;Non;Non;30000;3;A;Oui;0;4;1;5029
1472;2005;71;H;Non;RTR;F;1;54;52100;Non;Non;907;OU;35;Oui;Non;26000;4;N;Non;1;6;1;1486
1473;2005;26;F;Oui;ASS;M;1;10;22900;Oui;Non;588;ML;7;Oui;Non;38000;4;A;Non;0;6;1;3423
1474;2005;27;H;Oui;GOU;M;1;6;22900;Oui;Non;576;GA;3;Oui;Non;23000;2;A;Non;0;6;1;2408
1475;2005;17;F;Non;ETU;F;0;1;28000;Non;Non;758;OU;0;Oui;Non;39000;11;G;Non;0;6;1;3257
1476;2005;59;F;Non;MED;A;0;43;12700;Oui;Non;684;ML;32;Non;Oui;55000;2;B;Oui;0;6;1;3968
1477;2005;70;F;Oui;RTR;F;1;54;50200;Non;Non;760;ML;24;Oui;Non;16000;2;N;Non;0;6;1;625
1478;2005;32;H;Non;ASS;A;0;16;27300;Oui;Non;685;SA;8;Non;Oui;60000;2;N;Non;1;6;1;5027
1479;2005;24;H;Non;ETU;F;1;7;29600;Oui;Non;513;SA;5;Non;Non;24000;8;R;Non;0;4;1;2629
1480;2005;45;H;Oui;MED;A;1;27;26100;Oui;Non;939;ES;17;Oui;Oui;61000;1;N;Oui;0;6;1;3039
1481;2005;23;H;Oui;ETU;F;0;4;11700;Oui;Non;761;ES;3;Oui;Non;27000;9;B;Non;0;6;1;2193
1482;2005;40;F;Non;AUT;F;0;19;12600;Non;Oui;583;ML;7;Oui;Non;47000;2;B;Oui;0;6;1;9129
1483;2005;16;H;Non;ETU;M;0;0;28700;Oui;Non;527;QC;0;Non;Oui;60000;1;G;Non;0;1;1;11036
1484;2005;24;H;Non;ETU;A;2;8;9200;Oui;Non;788;ML;6;Non;Non;32000;10;B;Non;0;2;1;1806
1485;2005;20;H;Non;ETU;A;0;3;28300;Oui;Non;702;MA;1;Non;Non;28000;10;A;Non;1;6;1;2921
1486;2005;22;F;Non;ETU;A;1;6;29800;Oui;Non;736;GA;3;Non;Non;12000;10;N;Non;1;4;1;1655
1487;2005;37;F;Non;ASS;D;0;21;50900;Non;Non;610;GA;16;Non;Non;31000;2;G;Non;0;4;1;3778
